n_epochs,intermediate_distortion,intermediate_l1,mean_optim_l1,min_optim_l1,std_optim_l1,mean_no_optim_l1,min_no_optim_l1,std_no_optim_l1,mean_optim_distortion,min_optim_distortion,std_optim_distortion,mean_no_optim_distortion,min_no_optim_distortion,std_no_optim_distortion,scale_delta,distance_reg,learning_rate
79,2.937299,0.367967,0.723614,0.695833,0.016180,1.141820,1.020309,0.044621,3.045253,2.625298,0.228242,3.340000,3.000000,0.473709,0.001000,0.000100,0.100000
226,0.152530,0.056890,1.129361,1.031921,0.033748,1.148214,1.020309,0.042018,3.264419,2.945619,0.372402,3.380000,3.000000,0.485386,1.000000,1.000000,0.001000
134,1.829098,0.183464,1.176649,1.075016,0.051086,1.143386,1.012489,0.044972,3.467740,2.993913,0.187164,3.320000,3.000000,0.466476,100.000000,0.010000,0.100000
136,1.860568,0.219399,0.866435,0.803104,0.022438,1.148525,1.020309,0.046071,2.724003,2.384440,0.193036,3.400000,3.000000,0.489898,10.000000,1.000000,0.100000
341,1.149434,0.216606,0.891540,0.851501,0.018351,1.140770,0.997184,0.045025,2.626014,2.480761,0.125141,3.290000,3.000000,0.453762,10.000000,1.000000,0.010000
144,1.877090,0.137274,1.165555,1.045438,0.055123,1.148422,1.052793,0.038899,3.454533,2.997568,0.271224,3.370000,3.000000,0.482804,100.000000,0.100000,0.100000
500,0.395108,0.155281,1.035033,0.953511,0.026008,1.145324,1.019681,0.043358,3.016510,2.751455,0.263504,3.280000,3.000000,0.448999,10.000000,0.010000,0.001000
56,0.076207,0.013777,1.152039,1.036808,0.039953,1.148768,1.026068,0.042228,3.356137,2.991415,0.455676,3.370000,3.000000,0.482804,0.100000,10.000000,0.010000
446,1.824270,0.311176,0.566728,0.543036,0.009866,1.146157,1.039450,0.040289,2.379782,2.209842,0.182055,3.320000,3.000000,0.466476,0.100000,0.010000,0.010000
311,0.228280,0.093880,1.071797,0.995308,0.028722,1.141399,0.997184,0.040945,3.101972,2.877869,0.317111,3.310000,3.000000,0.462493,1.000000,0.010000,0.001000
123,1.614532,0.313542,1.067103,1.018799,0.016635,1.143902,1.006358,0.045005,2.997401,2.650611,0.187968,3.350000,3.000000,0.476970,0.100000,0.100000,0.100000
93,0.055318,0.018521,1.130558,1.019321,0.038688,1.145800,1.026068,0.041277,3.312342,2.978886,0.436994,3.360000,3.000000,0.480000,0.010000,0.100000,0.001000
47,0.001660,0.000058,1.140092,1.012525,0.042486,1.140049,1.012489,0.042496,3.310052,3.000000,0.462166,3.310000,3.000000,0.462493,100.000000,0.000100,0.000100
173,0.109968,0.047490,1.131523,1.007594,0.034001,1.150258,1.006358,0.040232,3.253753,2.947960,0.394138,3.320000,3.000000,0.466476,10.000000,0.100000,0.001000
36,0.002893,0.000985,1.144006,1.052168,0.035672,1.144887,1.052793,0.035794,3.247795,2.998082,0.430944,3.250000,3.000000,0.433013,0.001000,0.001000,0.000100
31,0.789436,0.139018,1.194486,1.077478,0.043110,1.142032,1.020309,0.040707,3.368223,3.048635,0.268375,3.300000,3.000000,0.458258,0.001000,10.000000,1.000000
320,1.385904,0.292074,0.892952,0.860886,0.013880,1.146151,1.006358,0.045921,2.763059,2.528809,0.168073,3.390000,3.000000,0.487750,1.000000,0.100000,0.010000
444,1.784285,0.337386,0.529354,0.513639,0.007072,1.141342,1.006358,0.047418,2.181937,2.044940,0.105104,3.290000,3.000000,0.453762,10.000000,0.000100,0.010000
400,0.101949,0.016091,1.139297,1.009376,0.046391,1.141040,0.997184,0.050222,3.284508,2.984912,0.401763,3.310000,3.000000,0.462493,100.000000,0.001000,0.001000
67,0.005196,0.001806,1.142960,1.042924,0.036333,1.144631,1.044218,0.036545,3.255828,2.996807,0.434825,3.260000,3.000000,0.438634,0.010000,0.100000,0.000100
500,1.908103,0.314866,0.496489,0.474225,0.008061,1.135861,1.020309,0.045614,2.106424,2.039147,0.075653,3.270000,3.000000,0.443959,10.000000,0.100000,0.010000
125,0.460663,0.116946,1.140681,1.075215,0.024918,1.148303,1.032867,0.040522,3.177014,2.957619,0.302825,3.300000,3.000000,0.458258,0.001000,1.000000,0.010000
153,0.437454,0.039312,1.144009,1.031916,0.038186,1.140658,0.997184,0.043128,3.281992,3.000000,0.315999,3.330000,3.000000,0.470213,100.000000,0.000100,0.010000
31,0.765999,0.121702,1.163742,1.071779,0.032353,1.144255,1.019681,0.038900,3.357770,2.997270,0.268271,3.280000,3.000000,0.448999,0.001000,10.000000,1.000000
